date,username,mutant,operator,binding_energy,rbs,repressors,IPTG_uM,mean_YFP_A,mean_YFP_bgcorr_A,fold_change_A
20170105,nbellive,wt,O2,-13.9,auto,0,0.0,3299.42649274,0.0,0.0
20170105,nbellive,wt,O2,-13.9,delta,0,0.0,22033.4309827,18734.00449,0.850253621629
20170105,nbellive,wt,O2,-13.9,RBS1027,130,0.0,3479.16099746,179.734504717,0.00815735437924
20170105,nbellive,wt,O2,-13.9,auto,0,0.1,3189.56118084,0.0,0.0
20170105,nbellive,wt,O2,-13.9,delta,0,0.1,21177.4287987,17987.8676179,0.849388648115
20170105,nbellive,wt,O2,-13.9,RBS1027,130,0.1,3394.64886792,205.08768708,0.00968425813297
20170105,nbellive,wt,O2,-13.9,auto,0,5.0,3137.73878909,0.0,0.0
20170105,nbellive,wt,O2,-13.9,delta,0,5.0,20428.0002039,17290.2614148,0.846400099972
20170105,nbellive,wt,O2,-13.9,RBS1027,130,5.0,3825.98680789,688.2480188,0.0336914045394
20170105,nbellive,wt,O2,-13.9,auto,0,10.0,3113.69145689,0.0,0.0
20170105,nbellive,wt,O2,-13.9,delta,0,10.0,22400.9588923,19287.2674355,0.861001867293
20170105,nbellive,wt,O2,-13.9,RBS1027,130,10.0,4527.1915082,1413.50005131,0.0630999796974
20170105,nbellive,wt,O2,-13.9,auto,0,25.0,3115.31369488,0.0,0.0
20170105,nbellive,wt,O2,-13.9,delta,0,25.0,19348.3449898,16233.031295,0.838988104847
20170105,nbellive,wt,O2,-13.9,RBS1027,130,25.0,6709.45748965,3594.14379476,0.185759753439
20170105,nbellive,wt,O2,-13.9,auto,0,50.0,3138.03443292,0.0,0.0
20170105,nbellive,wt,O2,-13.9,delta,0,50.0,20435.5947752,17297.5603423,0.846442715887
20170105,nbellive,wt,O2,-13.9,RBS1027,130,50.0,10738.8527439,7600.81831096,0.371940156112
20170105,nbellive,wt,O2,-13.9,auto,0,75.0,3124.51431625,0.0,0.0
20170105,nbellive,wt,O2,-13.9,delta,0,75.0,21111.7257252,17987.2114089,0.852000999022
20170105,nbellive,wt,O2,-13.9,RBS1027,130,75.0,12010.2824148,8885.76809857,0.420892551099
20170105,nbellive,wt,O2,-13.9,auto,0,100.0,3105.97593312,0.0,0.0
20170105,nbellive,wt,O2,-13.9,delta,0,100.0,19913.1568125,16807.1808793,0.844023930391
20170105,nbellive,wt,O2,-13.9,RBS1027,130,100.0,13059.4683129,9953.49237975,0.499845025753
20170105,nbellive,wt,O2,-13.9,auto,0,250.0,3129.315548,0.0,0.0
20170105,nbellive,wt,O2,-13.9,delta,0,250.0,19412.1152967,16282.7997487,0.838795746874
20170105,nbellive,wt,O2,-13.9,RBS1027,130,250.0,15623.7413548,12494.4258068,0.64364061391
20170105,nbellive,wt,O2,-13.9,auto,0,500.0,3097.02524864,0.0,0.0
20170105,nbellive,wt,O2,-13.9,delta,0,500.0,18138.4922522,15041.4670035,0.829256742755
20170105,nbellive,wt,O2,-13.9,RBS1027,130,500.0,16276.4784328,13179.4531841,0.7266013625
20170105,nbellive,wt,O2,-13.9,auto,0,1000.0,3030.12313227,0.0,0.0
20170105,nbellive,wt,O2,-13.9,delta,0,1000.0,17276.7832675,14246.6601352,0.824613003163
20170105,nbellive,wt,O2,-13.9,RBS1027,130,1000.0,15771.4595741,12741.3364418,0.737483143971
20170105,nbellive,wt,O2,-13.9,auto,0,5000.0,2982.66339552,0.0,0.0
20170105,nbellive,wt,O2,-13.9,delta,0,5000.0,15903.7405676,12921.0771721,0.8124552282
20170105,nbellive,wt,O2,-13.9,RBS1027,130,5000.0,13607.4680805,10624.804685,0.668069542497
20170105,nbellive,dimer,O2,-13.9,RBS1027,130,0.0,3970.98173425,671.555241502,0.03047892278
20170105,nbellive,dimer,O2,-13.9,RBS1027,130,0.1,3870.30500523,680.743824395,0.0321447816382
20170105,nbellive,dimer,O2,-13.9,RBS1027,130,5.0,4682.28138121,1544.54259212,0.075609094219
20170105,nbellive,dimer,O2,-13.9,RBS1027,130,10.0,5956.3776038,2842.68614692,0.126900199254
20170105,nbellive,dimer,O2,-13.9,RBS1027,130,25.0,9623.23982543,6507.92613055,0.336355700395
20170105,nbellive,dimer,O2,-13.9,RBS1027,130,50.0,12752.8131864,9614.77875352,0.470491750265
20170105,nbellive,dimer,O2,-13.9,RBS1027,130,75.0,13569.3082897,10444.7939734,0.494738995258
20170105,nbellive,dimer,O2,-13.9,RBS1027,130,100.0,14152.9196251,11046.943692,0.554756023671
20170105,nbellive,dimer,O2,-13.9,RBS1027,130,250.0,14657.3693446,11528.0537966,0.593858712482
20170105,nbellive,dimer,O2,-13.9,RBS1027,130,500.0,14971.8859005,11874.8606518,0.654677383695
20170105,nbellive,dimer,O2,-13.9,RBS1027,130,1000.0,14073.6489348,11043.5258026,0.639211919927
20170105,nbellive,dimer,O2,-13.9,RBS1027,130,5000.0,13457.7075324,10475.0441369,0.658652855431
20170105,nbellive,wt,O1,-15.3,delta,0,0.0,15007.4379862,11708.0114934,0.780147251264
20170105,nbellive,wt,O1,-15.3,RBS1027,130,0.0,3312.88010348,13.4536107324,0.000896462856937
20170105,nbellive,wt,O1,-15.3,delta,0,0.1,17358.7871688,14169.225988,0.816256680273
20170105,nbellive,wt,O1,-15.3,RBS1027,130,0.1,3206.54009184,16.9789109993,0.00097811620329
20170105,nbellive,wt,O1,-15.3,delta,0,5.0,15182.4581499,12044.7193608,0.793331306557
20170105,nbellive,wt,O1,-15.3,RBS1027,130,5.0,3331.77797491,194.039185821,0.0127804854725
20170105,nbellive,wt,O1,-15.3,delta,0,10.0,15199.5363458,12085.8448889,0.795145629047
20170105,nbellive,wt,O1,-15.3,RBS1027,130,10.0,3480.51536743,366.823910547,0.0241338881793
20170105,nbellive,wt,O1,-15.3,delta,0,25.0,15479.2266378,12363.9129429,0.798742290699
20170105,nbellive,wt,O1,-15.3,RBS1027,130,25.0,4053.41228568,938.098590792,0.0606037118483
20170105,nbellive,wt,O1,-15.3,delta,0,50.0,16900.0945133,13762.0600804,0.8143185276
20170105,nbellive,wt,O1,-15.3,RBS1027,130,50.0,5356.7543429,2218.71990998,0.131284467565
20170105,nbellive,wt,O1,-15.3,delta,0,75.0,14408.0227175,11283.5084012,0.783140658678
20170105,nbellive,wt,O1,-15.3,RBS1027,130,75.0,5789.37101178,2664.85669553,0.184956447376
20170105,nbellive,wt,O1,-15.3,delta,0,100.0,15039.8936737,11933.9177406,0.793484182767
20170105,nbellive,wt,O1,-15.3,RBS1027,130,100.0,6734.62534776,3628.64941464,0.241268289082
20170105,nbellive,wt,O1,-15.3,delta,0,250.0,14446.4871132,11317.1715652,0.78338571007
20170105,nbellive,wt,O1,-15.3,RBS1027,130,250.0,9404.95568999,6275.64014198,0.434405962697
20170105,nbellive,wt,O1,-15.3,delta,0,500.0,14048.0521692,10951.0269205,0.779540593148
20170105,nbellive,wt,O1,-15.3,RBS1027,130,500.0,10270.3606943,7173.3354457,0.510628474276
20170105,nbellive,wt,O1,-15.3,delta,0,1000.0,12868.6060807,9838.48294839,0.764533694381
20170105,nbellive,wt,O1,-15.3,RBS1027,130,1000.0,10007.7247043,6977.60157202,0.542218910757
20170105,nbellive,wt,O1,-15.3,delta,0,5000.0,11703.3862151,8720.72281962,0.745145264739
20170105,nbellive,wt,O1,-15.3,RBS1027,130,5000.0,9099.19736119,6116.53396567,0.522629421369
20170105,nbellive,dimer,O1,-15.3,RBS1027,130,0.0,3342.27786044,42.8513676968,0.00285534198018
20170105,nbellive,dimer,O1,-15.3,RBS1027,130,0.1,3283.89976944,94.3385886002,0.00543463017795
20170105,nbellive,dimer,O1,-15.3,RBS1027,130,5.0,3456.37820705,318.639417955,0.0209873404431
20170105,nbellive,dimer,O1,-15.3,RBS1027,130,10.0,3846.25680201,732.565345119,0.0481965586616
20170105,nbellive,dimer,O1,-15.3,RBS1027,130,25.0,4999.76072561,1884.44703073,0.121740386314
20170105,nbellive,dimer,O1,-15.3,RBS1027,130,50.0,7399.01653192,4260.98209899,0.252127708259
20170105,nbellive,dimer,O1,-15.3,RBS1027,130,75.0,8557.22919203,5432.71487578,0.377061792747
20170105,nbellive,dimer,O1,-15.3,RBS1027,130,100.0,9466.97234901,6360.99641588,0.422941581496
20170105,nbellive,dimer,O1,-15.3,RBS1027,130,250.0,12064.4255929,8935.11004492,0.618497076481
20170105,nbellive,dimer,O1,-15.3,RBS1027,130,500.0,12741.709593,9644.68434441,0.686549581982
20170105,nbellive,dimer,O1,-15.3,RBS1027,130,1000.0,12386.5508951,9356.42776279,0.727073911824
20170105,nbellive,dimer,O1,-15.3,RBS1027,130,5000.0,11800.0715241,8817.4081286,0.753406575372
