IPTG_uM,binding_energy,date,fold_change,operator,rbs,repressors,username
0.0,-15.3,20161102,0.011194972920867003,O1,RBS1027,130,gchure
0.1,-15.3,20161102,0.011216732931222783,O1,RBS1027,130,gchure
5.0,-15.3,20161102,0.09813103115557885,O1,RBS1027,130,gchure
10.0,-15.3,20161102,0.011625723382743921,O1,RBS1027,130,gchure
25.0,-15.3,20161102,0.08118711008086216,O1,RBS1027,130,gchure
50.0,-15.3,20161102,0.11884938036361736,O1,RBS1027,130,gchure
75.0,-15.3,20161102,0.20416262405674906,O1,RBS1027,130,gchure
100.0,-15.3,20161102,0.2807797140274093,O1,RBS1027,130,gchure
250.0,-15.3,20161102,0.39432390672820833,O1,RBS1027,130,gchure
500.0,-15.3,20161102,0.4508072654811184,O1,RBS1027,130,gchure
1000.0,-15.3,20161102,0.5852651063171183,O1,RBS1027,130,gchure
5000.0,-15.3,20161102,0.6463459741624854,O1,RBS1027,130,gchure
